"","agency","year","department","expense_category","budget_code","budget_name","adopted","modified","encumbered","cash_expense","pre_encumbered","post_adjustment","accrued_expense"
"150","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV ACCTING & AUDITING","3698","AIDS CASE DEFINITION","0","24500","0","19200","0","5300","0"
"151","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3716","SYEP - Private Grants","0","23744","0","23743.99","0","0","0"
"152","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PRINTING CONTRACTS","3698","AIDS CASE DEFINITION","0","22558","0","0","0","0","0"
"153","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PROF SERV OTHER","3712","CSBG - SYEP","0","22291","0","22289.33","0","0","0"
"154","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES GENERAL","3104","S.I. Ferry Operations","0","21634","0","21625","0","0","0"
"155","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","TELEPHONE & OTHER COMMUNICATNS","3612","ADMIN OTPS","20934","20934","0","20934","0","0","0"
"156","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV ACCTING & AUDITING","3550","AIDS Prevention & Surveillance-Fed","0","20000","0","20000","0","0","0"
"157","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","POSTAGE","3612","ADMIN OTPS","20000","19000","0","16284.41","0","0","0"
"158","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","DATA PROCESSING SUPPLIES","S007","Immunization & Vaccines for Children-IIS","0","15973","0","15972.02","0","0","0"
"159","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV ACCTING & AUDITING","3680","BEACONS","0","15100","0","15100","0","0","0"
"160","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","BOOKS-OTHER","3612","ADMIN OTPS","10300","15036","0","13093.72","0","0","0"
"161","Department of Youth and Community Development","2011","EXECUTIVE AND ADMINISTRATIVE MGMT PS","UNSALARIED","2006","IIA&IIC JTPA-TAP TRAINING","15024","15024","0","89921.52","0","0","0"
"162","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","S003","POP PROGRAM PARTICIPANTS-ARRA IC/DYCD","0","14967","0","14966.85","0","0","0"
"163","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","TELEPHONE & OTHER COMMUNICATNS","9704","COMMUNITY ACTION PROGRAM AOTPS","14251","14251","0","3293","0","0","0"
"164","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3698","AIDS CASE DEFINITION","0","14000","0","0","0","0","0"
"165","Department of Youth and Community Development","2011","EXECUTIVE AND ADMINISTRATIVE MGMT PS","OVERTIME","6006","Legal/General Counsel","13696","13696","0","227.83","0","0","0"
"166","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","S014","ARRA Broadband Tech Opportunities Pgm","0","13571","0","13570.52","0","0","0"
"167","Department of Youth and Community Development","2011","EXECUTIVE AND ADMINISTRATIVE MGMT PS","ASSIGNMENT DIFFERENTIAL","2006","IIA&IIC JTPA-TAP TRAINING","13284","13284","0","20949.93","0","0","0"
"168","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","S005","POP TRANSITIONAL JOBS ADMIN - HRA","0","11244","0","11244","0","0","0"
"169","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PURCH DATA PROCESSING EQUIPT","3697","CEO  -  Youth Internships","0","11099","0","11098.5","0","0","0"
"170","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","OFFICE EQUIPMENT MAINTENANCE","3612","ADMIN OTPS","0","10400","0","9752.5","0","0","0"
"171","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","SUPPLIES + MATERIALS - GENERAL","4198","AOTPS","10000","10276","0","8868.13","0","0","0"
"172","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV ACCTING & AUDITING","3557","Youth Program at NYCHA","0","10000","0","10000","0","0","0"
"173","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PRINTING CONTRACTS","9805","COMMUNITY ACTION","10000","10000","0","0","0","0","0"
"174","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","TELECOMMUNICATIONS EQUIPMENT","3612","ADMIN OTPS","500","9808","0","9807.14","0","0","0"
"175","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","SUPPLIES + MATERIALS - GENERAL","3698","AIDS CASE DEFINITION","0","9697","0","5280.2","0","0","0"
"176","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV COMPUTER SERVICES","3612","ADMIN OTPS","0","9275","0","8163.74","0","0","0"
"177","Department of Youth and Community Development","2011","EXECUTIVE AND ADMINISTRATIVE MGMT PS","LONGEVITY DIFFERENTIAL","6006","Legal/General Counsel","8891","8923","0","12746.82","0","0","0"
"178","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3711","Summer Youth Employment Program","0","8131","0","8131","0","0","0"
"179","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","NON OVERNIGHT TRVL EXP-GENERAL","9805","COMMUNITY ACTION","8000","8000","0","0","0","0","0"
"180","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","MOTOR VEHICLE FUEL","3612","ADMIN OTPS","4192","7051","0","7017.7","0","0","0"
"181","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES GENERAL","3698","AIDS CASE DEFINITION","0","6792","0","0","0","0","0"
"182","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3705","WIA AOTPS","5000","6769","0","-5381","0","0","0"
"183","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","AUTOMOTIVE SUPPLIES & MATERIAL","3101","FERRY OPS  -  City","6500","6500","0","0","0","0","0"
"184","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","TRANSPORTATION EXPENDITURES","3612","ADMIN OTPS","5000","6000","0","5787.17","0","0","0"
"185","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","S004","ASSESSING VARICELLA VACCINE EFFECTIVENSS","0","5929","0","5928.22","0","0","0"
"186","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","TRAINING CITY EMPLOYEES","3101","FERRY OPS  -  City","5800","5800","0","2475","0","0","0"
"187","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","LONGEVITY DIFFERENTIAL","4001","BUDGET STABILIZATION ACCOUNT","5362","5557","0","13970.67","0","0","0"
"188","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","PART-TIME POSITIONS","5001","FINANCIAL SERVICES","5357","5357","0","17159.26","0","0","0"
"189","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","OFFICE FURITURE","3612","ADMIN OTPS","1000","5357","0","5356.82","0","0","0"
"190","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","OVERTIME","3006","VITAL RECORDS","5342","5342","0","356.5","0","0","0"
"191","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3612","ADMIN OTPS","341356","5017","0","16.1","0","0","0"
"192","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","4198","AOTPS","5000","5000","0","0","0","0","0"
"193","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","BOOKS-OTHER","9855","RYAN WHITE AOTPS","5000","5000","0","0","0","0","0"
"194","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","MAINT & REP OF MOTOR VEH EQUIP","9704","COMMUNITY ACTION PROGRAM AOTPS","5000","5000","0","0","0","0","0"
"195","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","ADVERTISING","9855","RYAN WHITE AOTPS","5000","5000","0","0","0","0","0"
"196","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","OVERTIME","4006","PROJECT MANAGEMENT OFF PRY MGT","4918","4918","0","802","0","0","0"
"197","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","OFFICE SERVICES","3612","ADMIN OTPS","2000","4747","0","4678.46","0","0","0"
"198","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","LONGEVITY DIFFERENTIAL","3006","VITAL RECORDS","4438","4600","0","4850.14","0","0","0"
"199","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EQUIPMENT GENERAL","3612","ADMIN OTPS","2000","4477","0","4476.99","0","0","0"
"200","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","OVERTIME","4003","Discretionary","4108","4108","0","407.05","0","0","0"
"201","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PROF SERV COMPUTER SERVICES","9915","ADULT ED ACT","0","4000","0","4000","0","0","0"
"202","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","S017","ARRA Lead Weatherization","4000","4000","0","526.61","0","0","0"
"203","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","SUPPLIES + MATERIALS - GENERAL","9805","COMMUNITY ACTION","41800","3950","0","0","0","0","0"
"204","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","OFFICE SERVICES","9805","COMMUNITY ACTION","0","3600","0","3600","0","0","0"
"205","Department of Youth and Community Development","2011","EXECUTIVE AND ADMINISTRATIVE MGMT PS","ASSIGNMENT DIFFERENTIAL","6006","Legal/General Counsel","3540","3540","0","4159.99","0","0","0"
"206","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","MOTOR VEHICLE FUEL","3101","FERRY OPS  -  City","3500","3500","0","0","0","0","0"
"207","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-SPECIAL","3612","ADMIN OTPS","10000","3310","0","3309.16","0","0","0"
"208","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","LONGEVITY DIFFERENTIAL","4106","Injury Surveillance & Prev Program","3199","3199","0","8045.35","0","0","0"
"209","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","OVERTIME","4106","Injury Surveillance & Prev Program","3021","3021","0","15036.89","0","0","0"
"210","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV CURRIC & PROF DEVEL","3698","AIDS CASE DEFINITION","0","3000","0","0","0","0","0"
"211","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","SUPPLIES + MATERIALS - GENERAL","4199","AOTPS-IC","3000","3000","0","0","0","0","0"
"212","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","MOTOR VEHICLE FUEL","4198","AOTPS","0","3000","0","1515.65","0","0","0"
"213","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","DATA PROCESSING SUPPLIES","4198","AOTPS","2000","2942","0","2941.56","0","0","0"
"214","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","OVERTIME","5201","ADMIN SERVICES","2904","2904","0","494.63","0","0","0"
"215","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","LONGEVITY DIFFERENTIAL","5101","HUMAN RESOURCES","2894","2894","0","760.64","0","0","0"
"216","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","NON OVERNIGHT TRVL EXP-GENERAL","4198","AOTPS","1000","2866","0","2737.85","0","0","0"
"217","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","DATA PROCESSING EQUIPMENT","3612","ADMIN OTPS","10000","2500","0","2123","0","0","0"
"218","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","PART-TIME POSITIONS","5006","NY COUNTY DEFENDERS SVCS","2408","2408","0","57108.95","0","0","0"
"219","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PROF SERV ACCTING & AUDITING","S015","IMMUNIZATION & VACCINES FOR CHILDREN","0","2400","0","2400","0","0","0"
"220","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","LONGEVITY DIFFERENTIAL","4003","Discretionary","2209","2371","0","9697.83","0","0","0"
"221","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","TRAINING CITY EMPLOYEES","9704","COMMUNITY ACTION PROGRAM AOTPS","2335","2335","0","0","0","0","0"
"222","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EQUIPMENT GENERAL","S007","Immunization & Vaccines for Children-IIS","0","2298","0","2297.94","0","0","0"
"223","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","OFFICE EQUIPMENT MAINTENANCE","4198","AOTPS","500","2262","0","2261.29","0","0","0"
"224","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","OVERNIGHT TRVL EXP-SPECIAL","3612","ADMIN OTPS","2500","2209","0","2208.6","0","0","0"
"225","Department of Youth and Community Development","2011","EXECUTIVE AND ADMINISTRATIVE MGMT PS","OVERTIME","1006","Budget Administration - MA","2127","2127","0","1462.37","0","0","0"
"226","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","TEMPORARY SERVICES","4198","AOTPS","1000","2000","0","136.1","0","0","0"
"227","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","OVERTIME","S008","Immun&Vacc/Children-Reach More","0","2000","0","5529.06","0","0","0"
"228","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","POSTAGE","9805","COMMUNITY ACTION","2000","2000","0","0","0","0","0"
"229","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","OVERTIME","4001","BUDGET STABILIZATION ACCOUNT","1849","1849","0","28.74","0","0","0"
"230","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PURCH DATA PROCESSING EQUIPT","3705","WIA AOTPS","30000","1840","0","0","0","0","0"
"231","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","SHIFT DIFFERENTIAL","3000","DEPUTY COMM TRANSIT OPERATION","1821","1821","0","57.13","0","0","0"
"232","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","OVERTIME","5001","FINANCIAL SERVICES","1789","1789","0","0","0","0","0"
"233","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","ASSIGNMENT DIFFERENTIAL","5201","ADMIN SERVICES","1770","1770","0","0","0","0","0"
"234","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","ASSIGNMENT DIFFERENTIAL","4001","BUDGET STABILIZATION ACCOUNT","1769","1769","0","0","0","0","0"
"235","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","OVERTIME","4206","Vulnerable Youth/RHY","1631","1631","0","0","0","0","0"
"236","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","3700","EPIDEMIOLOGY","5000","1536","0","255.34","0","0","0"
"237","Department of Youth and Community Development","2011","PROGRAM SERVICES - PS","LONGEVITY DIFFERENTIAL","4306","DACE Admin OTPS","1499","1499","0","0","0","0","0"
"238","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","OFFICE FURITURE","4198","AOTPS","0","1450","0","1449.7","0","0","0"
